fid1	iid1	fid2	iid2	total_ibd_cm	num_segments	max_segment_cm	proportion_shared	predicted_relationship
HG00096	HG00096	HG00096	HG00096	6.822	1	6.822	0.12403636363636364	third-degree
HG00099	HG00099	HG00119	HG00119	3.259	1	3.259	0.059254545454545456	unrelated
HG00100	HG00100	HG00109	HG00109	4.23	1	4.23	0.07690909090909091	unrelated
HG00105	HG00105	HG00106	HG00106	3.737	1	3.737	0.06794545454545454	unrelated
HG00112	HG00112	HG00116	HG00116	8.312999999999999	2	4.417	0.15114545454545453	third-degree
HG00112	HG00112	HG00123	HG00123	15.755	3	6.69	0.28645454545454546	second-degree
HG00114	HG00114	HG00116	HG00116	19.059	3	7.668	0.34652727272727274	second-degree
HG00114	HG00114	HG00119	HG00119	3.7	1	3.7	0.06727272727272728	unrelated
HG00114	HG00114	HG00120	HG00120	16.637999999999998	3	6.443	0.3025090909090909	second-degree
HG00115	HG00115	HG00116	HG00116	3.131	1	3.131	0.05692727272727272	unrelated
HG00116	HG00116	HG00120	HG00120	33.717	5	9.167	0.6130363636363636	full-sibling
HG00116	HG00116	HG00123	HG00123	4.216	1	4.216	0.07665454545454546	unrelated
HG00116	HG00116	HG00243	HG00243	3.086	1	3.086	0.05610909090909091	unrelated
HG00117	HG00117	HG00117	HG00117	6.333	1	6.333	0.11514545454545455	third-degree
HG00119	HG00119	HG00121	HG00121	5.177	1	5.177	0.09412727272727273	third-degree
HG00234	HG00234	NA11881	NA11881	3.952	1	3.952	0.07185454545454545	unrelated
HG00236	HG00236	HG00264	HG00264	3.125	1	3.125	0.056818181818181816	unrelated
HG00236	HG00236	NA10847	NA10847	6.051	1	6.051	0.11001818181818182	third-degree
HG00238	HG00238	HG00240	HG00240	6.76	2	3.718	0.1229090909090909	third-degree
HG00253	HG00253	HG00264	HG00264	3.85	1	3.85	0.07	unrelated
NA07037	NA07037	NA12400	NA12400	4.738	1	4.738	0.08614545454545455	unrelated
NA07048	NA07048	NA12046	NA12046	4.646	1	4.646	0.08447272727272727	unrelated
NA11881	NA11881	NA12003	NA12003	3.171	1	3.171	0.05765454545454545	unrelated
NA11919	NA11919	NA12044	NA12044	3.168	1	3.168	0.057600000000000005	unrelated
NA11931	NA11931	NA11933	NA11933	9.744	2	6.36	0.17716363636363636	third-degree
NA11931	NA11931	NA12400	NA12400	3.391	1	3.391	0.061654545454545455	unrelated
NA11931	NA11931	NA12748	NA12748	4.769	1	4.769	0.08670909090909092	unrelated
NA11994	NA11994	NA11994	NA11994	3.107	1	3.107	0.05649090909090909	unrelated
NA12156	NA12156	NA12874	NA12874	3.839	1	3.839	0.0698	unrelated
NA12399	NA12399	NA20585	NA20585	3.197	1	3.197	0.05812727272727273	unrelated
NA12760	NA12760	NA12830	NA12830	28.905	3	11.791	0.5255454545454545	full-sibling
NA20503	NA20503	NA20503	NA20503	5.199	1	5.199	0.09452727272727272	third-degree
NA20515	NA20515	NA20808	NA20808	4.803	1	4.803	0.08732727272727273	unrelated
NA20520	NA20520	NA20589	NA20589	3.45	1	3.45	0.06272727272727273	unrelated
NA20539	NA20539	NA20783	NA20783	6.686	2	3.528	0.12156363636363636	third-degree
NA20586	NA20586	NA20826	NA20826	3.402	1	3.402	0.061854545454545454	unrelated
NA20769	NA20769	NA20796	NA20796	4.246	1	4.246	0.0772	unrelated
NA20774	NA20774	NA20826	NA20826	3.291	1	3.291	0.05983636363636363	unrelated
NA20786	NA20786	NA20811	NA20811	3.867	1	3.867	0.0703090909090909	unrelated
